ss_list_price,ss_wholesale_cost
103.65,52.09
17.05,13.75
15.91,8.99
60.32,51.56
96.48,58.83
25.81,13.17
133.00,97.80
128.23,65.76
52.30,32.09
32.01,25.41
87.28,66.63
177.63,94.99
72.44,59.87
82.12,64.16
13.60,10.00
72.55,60.97
16.07,10.44
46.75,26.87
5.39,4.15
11.85,10.22
6.52,3.49
90.64,50.36
50.56,27.48
35.10,18.38
5.76,3.35
59.52,34.81
19.85,12.81
118.96,80.93
39.78,22.48
98.16,75.51
13.71,12.47
73.37,63.80
90.55,83.08
95.20,80.00
140.59,96.30
78.41,51.25
133.56,75.46
25.09,16.73
25.82,15.65
9.82,6.18
26.98,22.30
83.74,78.27
133.00,81.60
55.46,37.73
97.41,57.64
23.63,21.29
94.02,79.01
111.08,71.21
4.82,2.71
10.69,7.81
87.89,84.51
111.14,91.10
82.28,49.87
60.46,38.76
31.58,18.58
86.13,72.38
19.27,14.49
34.18,22.79
52.82,28.25
58.00,34.32
15.26,9.60
82.84,72.67
87.55,46.82
114.02,98.30
133.70,99.78
50.95,34.66
151.55,95.32
150.52,77.99
52.98,27.17
3.47,1.92
22.57,11.88
63.70,47.19
51.88,34.82
134.47,82.50
73.69,44.13
30.23,21.75
29.07,28.50
131.40,89.39
84.93,70.78
5.77,3.75
77.38,60.46
15.73,13.22
35.52,32.59
143.43,89.09
123.34,76.61
64.59,36.29
120.68,74.96
90.69,50.67
21.41,19.65
87.29,78.64
82.61,48.03
38.97,32.75
98.84,89.05
183.80,94.26
119.06,93.02
158.49,86.14
64.70,51.35
69.98,42.16
160.48,82.30
39.04,34.25
38.91,21.38
102.20,59.42
69.09,53.56
141.21,90.52
43.81,39.12
7.80,6.45
80.55,51.31
56.18,39.29
57.46,44.55
134.51,87.35
151.52,78.92
14.45,7.77
141.14,97.34
77.67,73.98
112.92,97.35
7.94,4.49
22.32,16.18
24.72,14.72
8.44,5.63
120.73,65.26
68.19,36.08
13.34,7.06
105.25,70.17
27.02,15.10
140.69,85.79
127.66,85.68
138.09,82.69
77.67,41.54
96.99,74.61
92.94,49.97
14.02,7.42
94.96,52.76
