T,EV,AP,RH,EP
16.6301,45.9288,1019.6545,62.5219,465.2120
31.1910,74.8108,1008.1750,55.3589,429.7999
22.5774,69.7410,1014.4105,68.6529,448.2033
20.5840,50.8792,1010.2048,64.6091,459.3419
30.2006,71.2841,1010.5893,64.3940,429.6247
11.1399,47.6444,1016.4301,78.5567,461.1196
32.3883,81.3629,1009.4139,75.3829,421.8720
28.2781,72.3184,1009.3002,62.8364,442.9460
14.7397,61.9670,1013.8236,83.6255,467.3489
25.4325,59.3798,1018.5916,51.0497,448.1982
15.0604,49.5418,1010.2875,81.7558,461.6781
14.9123,52.2366,1015.3854,70.9207,469.9532
11.2244,59.9784,1013.8709,86.1964,463.3014
26.3420,66.4355,1014.7421,78.5764,434.4439
11.6120,56.5534,1015.7657,74.6396,472.5728
30.2318,90.0334,1001.8327,72.2038,424.4822
27.0215,59.2676,1007.5728,87.2669,435.6943
29.8346,65.6495,1015.8160,50.0392,438.1848
30.3539,72.5907,1006.6938,54.9864,431.9350
35.8051,76.6556,1014.6153,49.1150,420.4426
27.0163,60.3092,1006.9424,66.9174,442.5336
26.1606,70.0282,1015.0559,61.5107,440.4285
5.7078,40.4415,1013.7169,99.1745,480.9145
19.3449,53.1334,1012.4617,79.9729,450.3399
12.0257,34.7029,1012.9653,74.7068,471.2707
9.0213,35.4015,1020.3380,101.8671,482.0796
19.1413,42.4253,1021.1459,55.5246,463.5172
26.5691,79.0457,1009.4533,81.8453,434.1528
-6.5957,24.2089,1020.5217,93.3131,509.3476
25.2321,70.5139,1023.1500,58.7704,444.5424
22.1509,52.5428,1014.9444,68.2420,446.7269
13.3058,52.8948,1021.8185,98.3179,464.8546
17.5156,54.0375,1003.9199,83.4597,455.9001
22.5063,56.5816,1006.4913,63.0779,447.9470
12.9851,40.8131,1020.6466,88.7783,469.8964
35.2935,87.4767,1008.4247,76.1104,412.0678
12.6300,53.2308,1016.0275,97.5515,466.3634
37.6252,77.3060,1020.0527,39.5354,418.4337
31.6742,71.5572,1005.3767,67.1033,426.3216
14.3361,51.2181,1021.0910,98.5654,467.6703
18.4711,46.8979,1013.0426,70.6085,464.6660
16.7934,47.1241,1018.8302,72.7368,457.3728
22.7469,54.9458,1008.2399,57.1768,446.9372
24.1607,60.0372,1012.3646,62.4826,448.8836
0.3258,32.7759,1021.7906,83.4263,493.0683
15.1537,59.0398,1023.0637,64.7797,455.4741
33.6710,70.2851,997.7503,54.1372,425.4064
23.1989,74.2146,1011.5210,84.6418,441.5911
26.2545,65.6125,1012.3638,62.4600,440.5769
13.9704,39.3071,1008.3029,65.3715,471.1890
22.5088,55.7207,1015.5013,73.4108,452.0197
9.8637,34.2449,1016.6639,90.8424,478.9469
23.6623,53.0213,1019.0831,51.6132,441.8070
14.3243,57.1467,1010.8437,85.7645,467.6322
32.0173,76.0573,998.6132,75.3032,423.8299
19.7228,53.8644,1005.4919,77.8196,453.2666
24.0198,54.5161,1008.5761,73.0682,451.7588
25.7537,63.9857,1009.7242,74.0084,433.5380
17.1349,50.6895,1016.8188,72.2652,455.7644
12.1756,36.6821,1013.7860,92.7660,471.4150
-4.3833,19.2936,1024.4782,100.1163,508.9412
20.3887,59.4046,1018.0251,79.6694,448.5570
24.5013,58.3068,1013.3493,59.8546,442.1523
18.3530,47.9342,1013.9774,66.7424,459.4651
27.3781,66.9169,1010.9562,60.9933,441.7460
29.9036,70.0254,1010.1930,47.6312,424.0722
21.1617,52.2442,1011.0502,77.6536,447.9443
22.3793,61.8947,1024.0216,56.4978,446.1054
25.0513,75.7678,1018.7463,64.8828,437.2657
21.6468,62.0418,1013.7247,81.5423,445.3409
16.5824,55.7573,1017.8682,94.3376,459.0693
12.4885,44.1451,1012.8109,74.5728,472.8740
26.0837,68.1568,1017.0669,50.0903,443.9578
16.4967,47.5119,1015.0682,78.9929,457.4281
20.4651,61.0830,1012.2021,62.6302,456.3424
11.4368,49.5953,1027.3141,70.7559,470.3468
31.0061,65.0283,1008.3487,40.3783,431.0971
12.1699,42.2431,1025.4699,85.5390,477.1400
10.3190,42.1480,1026.3705,85.3718,471.4619
15.5465,36.4785,1009.5299,69.6622,463.2010
14.3685,52.0937,1005.1409,96.0972,467.7599
22.8245,58.2757,1013.6422,90.3326,442.2188
20.9418,51.1735,1018.9378,66.0977,454.6878
16.1616,65.9824,1011.4952,76.1250,459.6885
11.3056,44.3521,1012.9744,73.1322,472.3401
15.8160,57.7412,1015.2007,73.7635,460.5085
25.7602,74.3918,1007.1088,103.4851,426.5326
12.3203,38.2315,1026.3239,54.9377,476.5604
18.8648,52.8043,1011.6771,75.3593,464.6417
14.9585,42.5890,1012.6937,81.6787,463.3613
11.4657,48.0843,1008.3390,94.7343,471.7722
9.1935,37.3190,1021.8915,64.6223,486.6042
32.7775,82.0404,1003.8255,68.1261,421.1648
17.0212,56.6488,1009.7517,82.2525,455.3203
19.3638,48.2404,1011.7934,77.3105,451.7593
9.9138,34.6137,1024.7462,73.1062,481.1778
14.7332,41.0091,1006.4066,90.1574,467.8900
17.5439,46.4939,1014.7581,82.7948,464.8882
12.1589,38.4300,1005.6866,86.2141,465.5923
24.5341,61.4362,1009.4678,67.2080,442.6015
18.7103,47.1931,1012.8800,74.3672,454.2464
8.6720,40.2465,1011.0444,88.3965,467.7043
21.2738,43.9955,1009.4873,53.3020,453.1065
12.7537,43.2104,1017.6025,82.6387,469.0738
16.3442,55.5374,1008.7856,71.2763,461.9844
19.2511,46.2440,1019.0205,75.3479,455.2441
25.2207,68.2186,1011.1133,69.2620,431.7930
15.5429,50.9431,1014.1146,85.0518,462.2661
29.5800,67.2959,1006.9635,53.8041,429.8084
7.0136,42.0610,1029.9312,93.9435,485.1884
20.9755,64.2252,1008.2854,64.3300,450.2024
24.2657,58.3345,1013.9264,73.2156,446.7576
27.3493,63.9402,1018.1499,78.5870,433.1026
12.7717,41.7459,1016.9485,86.2204,462.7968
35.7361,80.0864,1009.7309,68.9479,421.9993
17.9352,58.0675,1012.9187,79.6845,456.7275
18.2673,43.5603,1005.8273,58.8065,462.9589
19.9558,66.4532,1012.1097,82.0071,442.4811
5.4030,40.4485,1018.0990,122.2138,477.2547
36.4062,78.3712,1005.2502,54.1155,418.9148
33.0156,63.1196,1006.1567,46.9809,439.2141
17.4460,56.7293,1013.9495,69.5185,462.6732
7.8682,39.7987,1017.6666,96.5230,474.7229
18.9998,51.0925,1015.3899,60.0385,454.7650
19.0179,57.0251,1011.4925,79.1464,452.0838
16.4491,46.3342,1021.5511,74.0907,460.6450
