ss_sold_date_sk,ss_sold_time_sk,ss_item_sk,ss_customer_sk,ss_cdemo_sk,ss_hdemo_sk,ss_addr_sk,ss_store_sk,ss_promo_sk,ss_ticket_number,ss_quantity,ss_wholesale_cost,ss_list_price,ss_sales_price,ss_ext_discount_amt,ss_ext_sales_price,ss_ext_wholesale_cost,ss_ext_list_price,ss_ext_tax,ss_coupon_amt,ss_net_paid,ss_net_paid_inc_tax,ss_net_profit
2451120,51241,182144,8079186,143311,3883,5222855,760,359,228784118,89,15.56,22.09,17.67,0.00,1572.63,1384.84,1966.01,0.00,0.00,1572.63,1572.63,187.79
2452618,37149,120150,6492170,1822150,1377,4697404,649,637,29894389,11,68.20,132.99,118.36,0.00,1301.96,750.20,1462.89,39.05,0.00,1301.96,1341.01,551.76
2452457,39812,278286,1473904,649299,7094,4481689,817,384,182301237,92,71.76,76.78,75.24,0.00,6922.08,6601.92,7063.76,553.76,0.00,6922.08,7475.84,320.16
2452420,39456,111888,9301286,136245,2404,5421810,919,1173,45860786,40,45.79,72.34,63.65,0.00,2546.00,1831.60,2893.60,0.00,0.00,2546.00,2546.00,714.40
2452170,70239,153985,4375221,1581448,475,3961902,164,566,40628178,20,20.54,31.83,19.41,0.00,388.20,410.80,636.60,3.88,0.00,388.20,392.08,-22.60
2451121,70839,102313,10791162,1686201,4887,2450326,898,294,146024153,12,83.75,134.83,0.00,0.00,0.00,1005.00,1617.96,0.00,0.00,0.00,0.00,-1005.00
2451736,71174,299089,6058321,935706,1091,197229,560,1153,70352318,88,89.85,140.16,68.67,0.00,6042.96,7906.80,12334.08,181.28,0.00,6042.96,6224.24,-1863.84
2451536,69592,244436,4992080,1656476,5672,2948821,115,1126,42052192,68,33.94,43.44,3.04,12.40,206.72,2307.92,2953.92,9.71,12.40,194.32,204.03,-2113.60
2451492,61553,235501,9780512,742880,6048,686816,133,373,231572158,35,62.11,77.01,16.94,100.79,592.90,2173.85,2695.35,34.44,100.79,492.11,526.55,-1681.74
2451396,39254,268651,5774842,1639024,6,4788988,916,1331,211835698,2,75.19,144.36,93.83,0.00,187.66,150.38,288.72,15.01,0.00,187.66,202.67,37.28
2452565,43797,153081,4529961,212910,212,2871161,674,978,53995132,81,34.16,56.02,16.80,0.00,1360.80,2766.96,4537.62,27.21,0.00,1360.80,1388.01,-1406.16
2452505,51105,189645,1484831,331017,2803,2448636,763,436,40501867,15,58.49,89.48,87.69,0.00,1315.35,877.35,1342.20,65.76,0.00,1315.35,1381.11,438.00
2451911,48717,108315,3853533,1220257,1381,4053705,596,1410,103102602,12,67.63,81.15,4.86,0.00,58.32,811.56,973.80,2.91,0.00,58.32,61.23,-753.24
2451893,29378,210281,2023913,1751692,3824,5489203,898,986,223776689,89,2.76,3.33,1.89,0.00,168.21,245.64,296.37,10.09,0.00,168.21,178.30,-77.43
2451884,40786,149105,1473152,123172,6439,1975306,601,346,152101798,34,3.72,5.54,4.32,0.00,146.88,126.48,188.36,1.46,0.00,146.88,148.34,20.40
2451179,63657,31454,4055751,728332,6066,1247800,832,144,47944042,91,7.63,13.58,6.11,305.80,556.01,694.33,1235.78,20.01,305.80,250.21,270.22,-444.12
2452227,68824,52167,1883619,1577718,4970,5106622,853,158,36604148,14,44.52,57.43,35.60,0.00,498.40,623.28,804.02,9.96,0.00,498.40,508.36,-124.88
2451878,37502,97151,10569336,,1933,,626,,188300010,83,,,,,659.02,,,,,,698.56,-2.49
2451053,74227,40552,7424089,1710276,110,5817497,652,804,37772559,85,54.99,79.73,27.10,1819.76,2303.50,4674.15,6777.05,0.00,1819.76,483.74,483.74,-4190.41
2451141,28869,247492,9574195,1522135,6428,1632768,433,5,157799968,33,58.92,77.77,60.66,0.00,2001.78,1944.36,2566.41,140.12,0.00,2001.78,2141.90,57.42
2451090,50886,111478,9813274,980166,2611,5994656,415,1320,152883015,63,92.55,114.76,50.49,0.00,3180.87,5830.65,7229.88,63.61,0.00,3180.87,3244.48,-2649.78
2452205,40788,59355,4858315,610896,1077,3242458,860,1002,110138440,74,14.58,24.93,22.68,0.00,1678.32,1078.92,1844.82,83.91,0.00,1678.32,1762.23,599.40
2451537,75398,262864,387002,597713,5224,3291935,70,543,192913608,96,43.03,65.40,27.46,26.36,2636.16,4130.88,6278.40,26.09,26.36,2609.80,2635.89,-1521.08
2451434,34492,153268,7988779,937645,6511,3495824,62,105,4877276,8,62.25,94.62,78.53,0.00,628.24,498.00,756.96,0.00,0.00,628.24,628.24,130.24
2451418,36340,273944,11404902,1266148,4994,4290240,691,1160,81060244,42,48.18,48.66,24.81,0.00,1042.02,2023.56,2043.72,20.84,0.00,1042.02,1062.86,-981.54
2450951,66487,191569,11812062,538962,3109,5933209,967,318,54344013,45,92.45,171.95,134.12,0.00,6035.40,4160.25,7737.75,482.83,0.00,6035.40,6518.23,1875.15
2451472,43268,140377,1354905,1021435,5918,5808001,106,1458,1155646,27,97.49,100.41,72.29,0.00,1951.83,2632.23,2711.07,117.10,0.00,1951.83,2068.93,-680.40
