ws_sold_date_sk,ws_sold_time_sk,ws_ship_date_sk,ws_item_sk,ws_bill_customer_sk,ws_bill_cdemo_sk,ws_bill_hdemo_sk,ws_bill_addr_sk,ws_ship_customer_sk,ws_ship_cdemo_sk,ws_ship_hdemo_sk,ws_ship_addr_sk,ws_web_page_sk,ws_web_site_sk,ws_ship_mode_sk,ws_warehouse_sk,ws_promo_sk,ws_order_number,ws_quantity,ws_wholesale_cost,ws_list_price,ws_sales_price,ws_ext_discount_amt,ws_ext_sales_price,ws_ext_wholesale_cost,ws_ext_list_price,ws_ext_tax,ws_coupon_amt,ws_ext_ship_cost,ws_net_paid,ws_net_paid_inc_tax,ws_net_paid_inc_ship,ws_net_paid_inc_ship_tax,ws_net_profit
2452149,58798,2452159,296863,8111756,1485889,1622,548555,10250972,1022926,2954,4464287,1373,39,16,7,98,48949635,9,24.34,57.92,53.28,41.76,479.52,219.06,521.28,33.56,0.00,213.66,479.52,513.08,693.18,726.74,260.46
2451532,35776,2451561,48590,4656120,593799,1431,3523910,8421945,726344,1653,358532,602,34,10,14,1338,17103224,100,49.28,81.31,17.88,6343.00,1788.00,4928.00,8131.00,0.00,0.00,2357.00,1788.00,1788.00,4145.00,4145.00,-3140.00
2452600,71149,2452638,254317,9234307,283459,1764,4006116,6637019,1576864,4678,5379430,1857,27,14,13,612,57003317,67,93.98,281.00,207.94,4895.02,13931.98,6296.66,18827.00,434.67,8498.50,1129.62,5433.48,5868.15,6563.10,6997.77,-863.18
2452089,55332,2452140,79447,4671185,740593,48,2234256,4215000,752856,6127,2640782,2141,29,19,3,447,40364574,41,12.38,25.25,19.44,238.21,797.04,507.58,1035.25,0.00,0.00,444.85,797.04,797.04,1241.89,1241.89,289.46
2452273,47143,2452333,72587,1418101,1852178,2608,5039085,256218,1483754,3622,727652,2195,41,7,18,436,14112906,72,85.06,170.97,23.93,10586.88,1722.96,6124.32,12309.84,68.91,0.00,1476.72,1722.96,1791.87,3199.68,3268.59,-4401.36
2451501,11974,2451604,246674,7626067,797124,4181,617991,2478399,1738239,1115,1101772,2815,46,9,3,250,19348474,69,54.31,157.49,143.31,978.42,9888.39,3747.39,10866.81,494.41,0.00,5107.38,9888.39,10382.80,14995.77,15490.18,6141.00
2451760,22321,2451814,284857,7328186,17798,5810,2463422,6375373,1835179,1058,5977070,427,8,10,8,206,48248775,27,74.21,178.10,35.62,3846.96,961.74,2003.67,4808.70,19.23,0.00,769.23,961.74,980.97,1730.97,1750.20,-1041.93
2452271,22301,2452333,209235,5693342,377472,2,3670179,5693342,377472,2,3670179,299,13,5,6,620,56062216,72,59.29,131.62,13.16,8529.12,947.52,4268.88,9476.64,15.35,180.02,4643.28,767.50,782.85,5410.78,5426.13,-3501.38
2452524,63669,2452564,219123,9745445,417294,1496,3551298,5765447,1405303,1951,4948200,2601,6,5,4,1216,5334814,71,4.02,8.56,3.33,371.33,236.43,285.42,607.76,14.18,0.00,115.02,236.43,250.61,351.45,365.63,-48.99
2451378,54730,2451438,67474,3732465,1385187,4662,4063784,10907832,409409,5150,3817072,1729,46,2,17,419,35791142,60,37.53,39.03,19.51,1171.20,1170.60,2251.80,2341.80,8.89,725.77,397.80,444.83,453.72,842.63,851.52,-1806.97
