ss_sold_date_sk,ss_sold_time_sk,ss_item_sk,ss_customer_sk,ss_cdemo_sk,ss_hdemo_sk,ss_addr_sk,ss_store_sk,ss_promo_sk,ss_ticket_number,ss_quantity,ss_wholesale_cost,ss_list_price,ss_sales_price,ss_ext_discount_amt,ss_ext_sales_price,ss_ext_wholesale_cost,ss_ext_list_price,ss_ext_tax,ss_coupon_amt,ss_net_paid,ss_net_paid_inc_tax,ss_net_profit
65495,3617,67006,591617,3428,24839,10,2,1,79,11.41,18.71,2.8,99.54,221.2,901.39,1478.09,6.08,99.54,121.66,127.74,-779.73,
65495,13283,67006,591617,3428,24839,10,2,1,37,63.63,101.17,41.47,46.03,1534.39,2354.31,3743.29,59.53,46.03,1488.36,1547.89,-865.95,
65495,13631,67006,591617,3428,24839,10,2,1,99,80.52,137.68,83.98,0.0,8314.02,7971.48,13630.32,0.0,0.0,8314.02,8314.02,342.54,
65495,5981,67006,591617,3428,24839,10,3,1,14,57.37,76.3,6.1,0.0,85.4,803.18,1068.2,0.0,0.0,85.4,85.4,-717.78,
65495,4553,67006,591617,3428,24839,10,2,1,100,25.08,36.86,0.73,0.0,73.0,2508.0,3686.0,6.57,0.0,73.0,79.57,-2435.0,
65495,10993,67006,591617,3428,24839,10,3,1,91,93.48,108.43,93.24,0.0,8484.84,8506.68,9867.13,254.54,0.0,8484.84,8739.38,-21.84,
65495,49,67006,591617,3428,24839,10,1,1,5,10.68,15.91,6.68,0.0,33.4,53.4,79.55,2.33,0.0,33.4,35.73,-20.0,
65495,4583,67006,591617,3428,24839,10,3,1,72,84.72,111.83,61.5,0.0,4428.0,6099.84,8051.76,177.12,0.0,4428.0,4605.12,-1671.84,
65495,13538,67006,591617,3428,24839,10,1,1,14,11.54,11.77,0.0,0.0,0.0,161.56,164.78,0.0,0.0,0.0,0.0,-161.56,
65495,3248,67006,591617,3428,24839,10,2,1,58,4.57,5.34,3.52,0.0,204.16,265.06,309.72,0.0,0.0,204.16,204.16,-60.9,
