ss_sold_date_sk,ss_sold_time_sk,ss_item_sk,ss_customer_sk,ss_cdemo_sk,ss_hdemo_sk,ss_addr_sk,ss_store_sk,ss_promo_sk,ss_ticket_number,ss_quantity,ss_wholesale_cost,ss_list_price,ss_sales_price,ss_ext_discount_amt,ss_ext_sales_price,ss_ext_wholesale_cost,ss_ext_list_price,ss_ext_tax,ss_coupon_amt,ss_net_paid,ss_net_paid_inc_tax,ss_net_profit
2451719,47897,6440,73868,1594547,6873,5552,1,99,87008,70,81.61,159.13,82.74,0.00,5791.80,5712.70,11139.10,115.83,0.00,5791.80,5907.63,79.10
2451176,51608,15190,81638,677051,6864,29430,8,29,216563,48,72.93,93.35,83.08,0.00,3987.84,3500.64,4480.80,119.63,0.00,3987.84,4107.47,487.20
2452187,70315,17443,6501,441320,586,36652,8,92,11547,62,21.58,40.13,38.52,0.00,2388.24,1337.96,2488.06,0.00,0.00,2388.24,2388.24,1050.28
2451879,37884,17180,10750,1657185,1220,33255,7,185,190262,96,69.91,99.27,10.91,0.00,1047.36,6711.36,9529.92,62.84,0.00,1047.36,1110.20,-5664.00
2451051,71470,13489,56002,793494,6186,29725,1,37,72631,95,96.36,172.48,84.51,0.00,8028.45,9154.20,16385.60,0.00,0.00,8028.45,8028.45,-1125.75
2452614,68164,13965,51280,1064218,1509,8047,1,30,98963,18,43.67,74.67,71.68,0.00,1290.24,786.06,1344.06,51.60,0.00,1290.24,1341.84,504.18
2451758,50202,3511,16719,428989,4106,1176,4,124,158517,72,25.67,31.57,22.09,365.81,1590.48,1848.24,2273.04,61.23,365.81,1224.67,1285.90,-623.57
2452207,50009,7073,73227,744940,4653,31213,7,82,163599,31,10.59,15.03,12.92,0.00,400.52,328.29,465.93,12.01,0.00,400.52,412.53,72.23
2451601,68941,10153,44182,1146432,5129,28579,7,56,61612,42,65.44,104.04,32.25,0.00,1354.50,2748.48,4369.68,67.72,0.00,1354.50,1422.22,-1393.98
2452326,37131,6915,51965,1151552,6339,49926,4,236,199838,29,73.06,74.52,8.94,0.00,259.26,2118.74,2161.08,20.74,0.00,259.26,280.00,-1859.48
2451580,70193,7505,44134,1878115,6943,2524,7,253,36714,56,2.73,3.08,1.35,0.00,75.60,152.88,172.48,3.78,0.00,75.60,79.38,-77.28
2451495,68529,16408,16774,1702430,4533,27436,4,149,35443,88,80.55,153.04,142.32,0.00,12524.16,7088.40,13467.52,0.00,0.00,12524.16,12524.16,5435.76
2452127,71915,11149,34899,1365978,2657,28936,2,73,50149,11,22.02,29.72,23.18,0.00,254.98,242.22,326.92,20.39,0.00,254.98,275.37,12.76
2451259,35791,6739,13152,839419,2839,4706,7,209,155792,25,48.97,51.90,7.26,0.00,181.50,1224.25,1297.50,10.89,0.00,181.50,192.39,-1042.75
2452032,32744,8815,75966,1005709,6652,47595,7,70,2319,95,70.08,96.71,81.23,0.00,7716.85,6657.60,9187.45,0.00,0.00,7716.85,7716.85,1059.25
2451497,,4759,45703,,5826,17264,,145,106624,,53.82,85.57,,0.00,2979.99,,,29.79,0.00,2979.99,3009.78,
2452573,38275,7765,15498,972093,1488,15283,1,147,72495,81,18.60,35.52,23.08,0.00,1869.48,1506.60,2877.12,18.69,0.00,1869.48,1888.17,362.88
2452168,48598,5397,79708,1496856,3604,17152,10,130,8082,79,25.33,39.26,3.14,0.00,248.06,2001.07,3101.54,17.36,0.00,248.06,265.42,-1753.01
2451088,64712,9610,38499,223638,7177,5869,7,93,12626,54,32.94,58.30,40.81,0.00,2203.74,1778.76,3148.20,176.29,0.00,2203.74,2380.03,424.98
2451903,42256,272,57599,120865,1731,42550,2,50,117980,84,4.93,9.36,5.33,237.29,447.72,414.12,786.24,2.10,237.29,210.43,212.53,-203.69
2451058,59962,7970,85971,1222486,4154,13822,2,268,163315,34,33.06,45.29,30.79,0.00,1046.86,1124.04,1539.86,62.81,0.00,1046.86,1109.67,-77.18
2451179,47980,1838,7061,1202098,6735,1372,4,218,99514,76,18.53,32.79,11.14,0.00,846.64,1408.28,2492.04,59.26,0.00,846.64,905.90,-561.64
2452170,40333,8919,76050,1032236,1222,43808,10,257,150724,78,50.54,90.46,32.56,0.00,2539.68,3942.12,7055.88,126.98,0.00,2539.68,2666.66,-1402.44
2452172,35858,13195,17944,1656316,2241,5413,4,55,29664,43,21.38,37.20,26.41,0.00,1135.63,919.34,1599.60,11.35,0.00,1135.63,1146.98,216.29
2450908,65182,7075,25434,1340137,3640,32343,7,124,192770,100,23.37,43.00,2.15,0.00,215.00,2337.00,4300.00,19.35,0.00,215.00,234.35,-2122.00
2452568,64415,2545,42073,66503,6933,19363,1,114,129547,7,98.70,174.69,129.27,0.00,904.89,690.90,1222.83,18.09,0.00,904.89,922.98,213.99
2451889,39172,9955,23446,134573,4100,20474,8,240,161990,25,7.93,12.13,11.03,0.00,275.75,198.25,303.25,19.30,0.00,275.75,295.05,77.50
2452597,52672,3889,23004,1821781,1358,18935,7,208,130413,27,63.48,124.42,6.22,0.00,167.94,1713.96,3359.34,5.03,0.00,167.94,172.97,-1546.02
2452350,46343,13069,49259,1672057,2055,22053,7,3,15748,33,21.49,31.16,10.59,0.00,349.47,709.17,1028.28,17.47,0.00,349.47,366.94,-359.70
2452164,53173,3757,87163,918987,6458,29129,1,37,178931,49,77.53,92.26,11.99,0.00,587.51,3798.97,4520.74,41.12,0.00,587.51,628.63,-3211.46
2451097,34367,14389,42362,1230317,1825,6580,8,94,211929,68,35.27,54.66,54.11,220.76,3679.48,2398.36,3716.88,103.76,220.76,3458.72,3562.48,1060.36
2452626,39085,16639,65901,1569520,3092,24311,10,191,175486,72,30.72,54.06,29.19,0.00,2101.68,2211.84,3892.32,63.05,0.00,2101.68,2164.73,-110.16
2451164,44788,16045,23467,367819,3371,28523,8,258,151457,49,47.16,64.60,28.42,0.00,1392.58,2310.84,3165.40,97.48,0.00,1392.58,1490.06,-918.26
2452484,61433,5754,51764,1091119,3274,9829,2,276,177376,48,97.74,112.40,92.16,0.00,4423.68,4691.52,5395.20,0.00,0.00,4423.68,4423.68,-267.84
2452443,42500,12529,12815,1213816,1217,5771,10,228,148707,74,70.00,104.30,5.21,0.00,385.54,5180.00,7718.20,26.98,0.00,385.54,412.52,-4794.46
2451146,47299,313,74041,1132155,3516,16877,1,169,32535,7,12.55,17.69,9.19,0.00,64.33,87.85,123.83,5.14,0.00,64.33,69.47,-23.52
2451556,48436,2279,42730,1149949,368,26340,8,246,238013,51,7.47,7.99,4.63,0.00,236.13,380.97,407.49,9.44,0.00,236.13,245.57,-144.84
2451645,61800,16807,11650,1428451,4099,17300,8,282,180978,76,41.53,65.61,43.30,0.00,3290.80,3156.28,4986.36,98.72,0.00,3290.80,3389.52,134.52
2452556,62141,5010,76494,415486,1678,13917,8,112,35953,6,34.36,46.72,28.03,0.00,168.18,206.16,280.32,13.45,0.00,168.18,181.63,-37.98
2451636,74957,9847,70463,1220702,541,47933,2,101,52384,61,89.75,166.03,58.11,3154.79,3544.71,5474.75,10127.83,11.69,3154.79,389.92,401.61,-5084.83
2451901,68774,6224,65040,445620,4600,21980,8,193,44941,15,58.71,82.78,10.76,38.73,161.40,880.65,1241.70,1.22,38.73,122.67,123.89,-757.98
2452179,63402,13237,9183,84108,2233,13558,7,206,150445,65,57.41,102.76,14.38,0.00,934.70,3731.65,6679.40,28.04,0.00,934.70,962.74,-2796.95
2451022,35233,10274,78697,258289,7034,17379,10,199,115360,48,35.56,39.47,35.91,0.00,1723.68,1706.88,1894.56,0.00,0.00,1723.68,1723.68,16.80
2451029,35425,1316,87807,674389,3018,16800,1,218,119182,31,24.62,25.60,4.35,0.00,134.85,763.22,793.60,8.09,0.00,134.85,142.94,-628.37
2451076,50757,10730,5771,1262292,6013,26134,8,284,55087,9,39.90,77.80,59.12,0.00,532.08,359.10,700.20,0.00,0.00,532.08,532.08,172.98
2451966,37132,4521,45078,1485147,4063,28179,7,36,54635,33,47.02,61.59,6.77,0.00,223.41,1551.66,2032.47,2.23,0.00,223.41,225.64,-1328.25
2451782,52829,11113,26959,632739,6166,15146,7,93,155978,59,89.25,106.20,21.24,0.00,1253.16,5265.75,6265.80,100.25,0.00,1253.16,1353.41,-4012.59
2451047,67612,994,76727,129453,4579,46105,7,118,7973,88,96.32,164.70,82.35,0.00,7246.80,8476.16,14493.60,507.27,0.00,7246.80,7754.07,-1229.36
2451335,34371,4477,88849,1448390,3931,13919,10,7,119152,97,69.25,106.64,55.45,0.00,5378.65,6717.25,10344.08,484.07,0.00,5378.65,5862.72,-1338.60
2451209,66678,14362,46582,504985,988,12191,7,110,56510,21,56.29,69.23,27.69,0.00,581.49,1182.09,1453.83,34.88,0.00,581.49,616.37,-600.60
2451489,50729,2266,3153,674189,5225,29461,1,148,48311,61,49.19,94.93,47.46,2779.25,2895.06,3000.59,5790.73,0.00,2779.25,115.81,115.81,-2884.78
2451430,48862,4142,76102,1180334,6613,32045,7,17,43504,11,39.65,61.06,3.66,0.00,40.26,436.15,671.66,0.00,0.00,40.26,40.26,-395.89
2452196,38397,9111,34077,1098733,4542,39998,10,44,56404,57,78.08,144.44,125.66,0.00,7162.62,4450.56,8233.08,143.25,0.00,7162.62,7305.87,2712.06
2451876,71864,7865,32847,1588626,3958,1690,8,65,43323,35,18.95,25.96,9.86,0.00,345.10,663.25,908.60,17.25,0.00,345.10,362.35,-318.15
2451326,65068,5896,17535,1094203,4471,33139,1,50,201437,44,55.51,81.04,3.24,27.08,142.56,2442.44,3565.76,9.23,27.08,115.48,124.71,-2326.96
2451805,63914,10784,777,1084812,2894,38976,7,64,103748,61,56.41,75.02,30.00,0.00,1830.00,3441.01,4576.22,54.90,0.00,1830.00,1884.90,-1611.01
2452272,34389,15395,52005,578782,6359,33089,2,253,164636,31,71.05,120.78,65.22,0.00,2021.82,2202.55,3744.18,20.21,0.00,2021.82,2042.03,-180.73
2452574,68757,17055,76293,490446,5399,36399,7,159,21034,34,51.00,55.59,9.45,0.00,321.30,1734.00,1890.06,25.70,0.00,321.30,347.00,-1412.70
2450888,35079,14564,89420,415503,2739,29975,10,212,1270,56,75.89,151.78,97.13,0.00,5439.28,4249.84,8499.68,217.57,0.00,5439.28,5656.85,1189.44
2451677,,7603,87816,1893182,5748,29114,2,279,35756,,38.04,,,0.00,,3195.36,,117.28,0.00,,2071.96,
2451503,33856,16484,20092,1373435,6425,26568,2,215,121402,82,61.22,98.56,37.45,0.00,3070.90,5020.04,8081.92,122.83,0.00,3070.90,3193.73,-1949.14
