ss_sold_date_sk,ss_store_sk,ss_sales_price
2451063.0,2.0,75.49
2451461.0,5.0,70.55
2451201.0,7.0,31.77
2451491.0,6.0,2.42
2451518.0,1.0,2.91
2451166.0,7.0,17.46
2451393.0,2.0,4.18
2452599.0,1.0,8.59
2452370.0,7.0,44.13
2452286.0,1.0,29.62
2451217.0,2.0,0.0
2451477.0,1.0,7.15
2452417.0,6.0,61.8
2451106.0,6.0,3.93
2452311.0,6.0,103.49
2451666.0,5.0,6.03
2451404.0,8.0,6.56
2451360.0,7.0,13.07
2451504.0,8.0,14.92
2451029.0,5.0,55.7
2451128.0,1.0,8.1
2452456.0,2.0,76.37
2451215.0,2.0,40.49
2451818.0,5.0,87.11
2451787.0,3.0,0.0
2451812.0,1.0,1.2
2452033.0,1.0,48.05
2450941.0,6.0,12.93
2452173.0,7.0,61.0
2452542.0,2.0,83.63
2452627.0,2.0,71.87
2452186.0,1.0,58.5
2451321.0,8.0,28.49
2451897.0,3.0,101.69
2452250.0,4.0,134.25
2450899.0,7.0,38.05
2451521.0,3.0,113.39
2452108.0,1.0,7.95
2451563.0,7.0,121.25
2451863.0,6.0,14.26
2452500.0,5.0,9.83
2451492.0,4.0,4.06
2451409.0,4.0,30.62
2452543.0,3.0,6.2
2451062.0,7.0,1.27
2451857.0,3.0,7.9
2451856.0,7.0,40.75
2451140.0,3.0,90.49
2451521.0,7.0,47.36
2451470.0,2.0,10.89
2451253.0,2.0,35.61
2452054.0,5.0,31.14
2451767.0,,
2450959.0,3.0,37.17
2451893.0,1.0,20.59
2451820.0,8.0,27.38
2451977.0,7.0,0.0
2452185.0,8.0,2.38
2451142.0,3.0,153.4
2452204.0,7.0,70.81
2452365.0,1.0,41.13
2451802.0,1.0,67.0
2452243.0,6.0,48.28
2451880.0,1.0,8.85
2451279.0,5.0,90.37
2452594.0,3.0,111.39
2451497.0,1.0,14.09
2451426.0,2.0,12.37
2451255.0,5.0,31.56
2451934.0,4.0,46.75
2452517.0,1.0,41.38
2450878.0,2.0,47.29
2451144.0,3.0,55.06
2451187.0,7.0,9.08
2451666.0,1.0,9.61
2452605.0,4.0,3.21
2452421.0,1.0,16.31
2452261.0,,25.61
2452202.0,3.0,12.38
2452638.0,4.0,44.27
2452589.0,3.0,21.42
2452318.0,3.0,11.92
2450903.0,1.0,120.9
2451117.0,,115.56
2452145.0,,
2451420.0,3.0,30.44
2451398.0,3.0,20.41
2451105.0,1.0,8.16
2451902.0,1.0,26.61
2452087.0,6.0,3.9
2451225.0,2.0,2.29
2451568.0,5.0,65.58
2451507.0,2.0,32.34
2451528.0,5.0,34.92
2452218.0,5.0,40.56
2451617.0,1.0,29.87
2452258.0,8.0,37.5
2452158.0,6.0,27.39
2451868.0,1.0,43.36
2451026.0,5.0,127.1
2451105.0,8.0,42.76
2451121.0,2.0,32.54
2451152.0,3.0,92.36
2451481.0,3.0,112.17
2451476.0,4.0,62.83
,7.0,
2452169.0,2.0,78.33
2452642.0,2.0,63.42
2451448.0,7.0,6.81
2451442.0,6.0,0.0
2452629.0,7.0,71.31
2451605.0,4.0,146.86
2451860.0,1.0,87.51
2451542.0,4.0,41.13
2451501.0,1.0,33.65
2451928.0,7.0,133.37
2451815.0,5.0,7.06
2450929.0,1.0,18.22
2452109.0,5.0,3.48
2451468.0,3.0,17.78
2451958.0,5.0,0.59
2451643.0,6.0,79.76
2452083.0,8.0,51.94
2452642.0,3.0,6.39
2451701.0,4.0,70.64
2452525.0,7.0,13.68
2452340.0,7.0,35.51
2451559.0,5.0,41.52
2452525.0,5.0,48.15
2451888.0,4.0,28.99
2451505.0,4.0,0.0
2451076.0,3.0,59.62
2451507.0,4.0,26.93
,,
2451299.0,5.0,41.67
2451058.0,4.0,4.97
2451441.0,5.0,10.03
2451676.0,6.0,30.89
2451261.0,1.0,1.08
2452164.0,2.0,20.01
2451894.0,3.0,80.31
2452119.0,8.0,0.94
2452639.0,3.0,5.43
2451849.0,5.0,82.78
2452163.0,7.0,68.39
2451571.0,5.0,1.74
2451900.0,1.0,68.92
2451889.0,1.0,4.48
,5.0,34.21
2452229.0,8.0,34.7
2451425.0,2.0,1.82
2451773.0,3.0,6.12
2452138.0,7.0,56.63
2451429.0,4.0,11.53
2452248.0,1.0,86.53
2451122.0,4.0,15.05
2450942.0,3.0,6.18
2451545.0,8.0,69.67
2451898.0,3.0,5.48
2451019.0,3.0,
2452551.0,1.0,42.81
2452194.0,3.0,21.64
2451318.0,7.0,16.76
2452132.0,5.0,52.3
2451082.0,1.0,10.11
2452448.0,6.0,58.94
2452012.0,5.0,10.25
2452065.0,7.0,97.13
2451150.0,5.0,15.67
2451406.0,1.0,13.86
2452039.0,2.0,57.85
2451989.0,1.0,75.35
2451420.0,2.0,5.2
2451157.0,4.0,71.51
2452237.0,2.0,62.19
2451435.0,2.0,9.24
2451996.0,3.0,18.07
2452176.0,4.0,102.42
2451767.0,2.0,14.87
2451513.0,1.0,11.89
2451177.0,6.0,40.69
2451760.0,6.0,21.85
2452466.0,3.0,93.72
2451831.0,3.0,44.43
2452109.0,8.0,3.58
2452230.0,,56.89
2452617.0,4.0,50.92
2451658.0,1.0,12.55
2451860.0,2.0,122.31
2452230.0,2.0,8.93
2451486.0,6.0,74.11
2451887.0,4.0,33.23
,,5.34
2451841.0,7.0,52.29
2451513.0,8.0,28.11
2451586.0,5.0,2.72
2452547.0,7.0,0.63
2452323.0,1.0,4.31
,8.0,
2452613.0,7.0,0.0
2451974.0,8.0,3.09
2451524.0,6.0,1.83
2451027.0,2.0,99.59
2451876.0,1.0,7.54
2451457.0,3.0,67.62
2451134.0,3.0,15.3
2451242.0,1.0,27.57
2451889.0,4.0,19.97
,5.0,61.89
2451365.0,7.0,29.64
2451834.0,4.0,64.04
2451338.0,5.0,1.56
2451598.0,1.0,28.39
2451863.0,2.0,9.62
2451784.0,4.0,21.45
2451546.0,1.0,14.2
2451981.0,5.0,1.15
2452382.0,2.0,0.2
2451907.0,7.0,12.46
2451494.0,5.0,45.35
2451891.0,8.0,0.25
2450935.0,2.0,81.17
2451253.0,8.0,65.36
2452267.0,6.0,23.6
2451532.0,4.0,39.38
2450865.0,2.0,30.34
2452618.0,1.0,50.33
2451175.0,8.0,0.76
2452550.0,8.0,
2451697.0,4.0,0.2
2452486.0,,44.15
2451518.0,6.0,0.18
2452398.0,1.0,53.56
2452035.0,3.0,3.12
2452245.0,3.0,97.8
2451856.0,4.0,125.97
2452323.0,1.0,28.95
2451900.0,2.0,2.55
2452309.0,6.0,54.21
2451149.0,3.0,1.18
2452507.0,8.0,2.87
2451816.0,3.0,0.36
2451574.0,2.0,45.17
2452350.0,7.0,59.79
2451854.0,5.0,23.65
2450846.0,5.0,124.14
2452483.0,9.0,28.82
2451289.0,1.0,18.53
2450924.0,1.0,5.31
2450878.0,8.0,74.47
2451443.0,8.0,16.57
2451309.0,3.0,1.43
2451786.0,5.0,36.97
2452583.0,7.0,2.01
2452181.0,1.0,42.84
,,
2450920.0,3.0,10.53
,,32.21
2451934.0,9.0,79.72
2452125.0,,38.14
2451500.0,8.0,76.42
2451833.0,8.0,10.0
2451975.0,3.0,1.99
2452324.0,7.0,15.57
2451516.0,2.0,
2451885.0,8.0,6.19
2451131.0,1.0,11.08
2452274.0,8.0,0.91
2452098.0,8.0,65.0
2450893.0,8.0,1.03
2451524.0,7.0,13.9
2452327.0,6.0,14.92
2451871.0,4.0,2.9
2451407.0,7.0,23.89
2451488.0,4.0,104.02
2451873.0,4.0,75.51
2452230.0,1.0,11.67
2452241.0,8.0,9.83
2451302.0,2.0,7.51
2452527.0,7.0,130.43
2452276.0,4.0,46.32
2451816.0,5.0,7.99
2451944.0,4.0,63.71
2451269.0,7.0,6.31
2451479.0,2.0,80.44
2451477.0,5.0,2.07
2452155.0,3.0,18.19
2451493.0,7.0,57.08
2452229.0,3.0,30.13
2451524.0,7.0,17.64
2451847.0,,23.06
,,56.84
2451511.0,8.0,33.93
2451900.0,8.0,84.34
2451529.0,4.0,2.02
2452213.0,2.0,21.06
2452112.0,2.0,96.89
2451349.0,6.0,15.64
2452239.0,1.0,37.29
2452516.0,4.0,10.97
2451228.0,5.0,19.49
2452593.0,2.0,27.97
2452243.0,1.0,38.12
2451658.0,5.0,7.18
2451478.0,7.0,86.06
2452602.0,3.0,49.38
2452222.0,2.0,95.08
2451856.0,2.0,30.2
2451584.0,6.0,28.92
2452231.0,8.0,18.23
2450981.0,4.0,3.45
2452406.0,7.0,37.08
2451232.0,2.0,14.76
2452569.0,2.0,76.99
2451776.0,4.0,17.66
2451471.0,3.0,52.04
2451430.0,1.0,32.38
2452027.0,2.0,91.13
,,
2451862.0,1.0,24.84
2451804.0,7.0,25.59
2450901.0,8.0,50.67
2452512.0,3.0,0.31
2451493.0,5.0,112.65
2451848.0,1.0,2.72
2452100.0,1.0,38.3
2451071.0,1.0,3.17
2451881.0,,
2451914.0,2.0,10.48
2452630.0,3.0,25.16
2452194.0,4.0,8.33
,,10.63
2452519.0,8.0,33.92
2451399.0,6.0,14.85
2451540.0,5.0,25.1
2451508.0,1.0,73.37
2451349.0,2.0,67.06
2451116.0,8.0,8.46
2450879.0,1.0,25.78
2452452.0,1.0,13.43
2451181.0,6.0,12.39
2451149.0,3.0,67.68
2451538.0,8.0,79.06
2450995.0,5.0,4.83
2450965.0,6.0,33.19
2451598.0,4.0,3.51
2452496.0,2.0,6.14
2451404.0,2.0,6.93
2452494.0,1.0,10.68
2451124.0,8.0,51.01
2450817.0,1.0,11.33
2451136.0,7.0,37.86
2452505.0,4.0,124.64
,4.0,
2451347.0,8.0,2.95
2452215.0,1.0,2.77
2451172.0,3.0,54.2
2451893.0,2.0,
2451184.0,6.0,67.64
2451434.0,1.0,9.23
2452063.0,2.0,18.95
2452588.0,4.0,38.62
2451719.0,3.0,11.19
2451176.0,7.0,20.24
2452064.0,,13.66
2451836.0,8.0,17.65
2452312.0,,28.98
2451458.0,3.0,26.13
2452610.0,7.0,28.86
2451137.0,6.0,52.92
2451479.0,8.0,22.35
2452017.0,8.0,85.53
2451978.0,3.0,142.74
2451056.0,6.0,3.96
2451621.0,7.0,35.63
2451084.0,4.0,3.19
2451510.0,8.0,155.49
2451553.0,4.0,40.7
2451156.0,2.0,47.69
2452299.0,3.0,126.46
,7.0,22.29
2451141.0,3.0,77.37
2451112.0,1.0,74.68
2452209.0,6.0,27.87
2451878.0,7.0,
2450999.0,3.0,6.48
2452331.0,2.0,53.19
2451480.0,3.0,97.6
2451870.0,8.0,37.18
2450890.0,7.0,1.5
2451837.0,5.0,68.97
2450828.0,1.0,4.75
2452560.0,3.0,30.86
2452312.0,6.0,11.36
2451115.0,2.0,22.75
2452050.0,1.0,4.19
2451501.0,6.0,110.53
2452228.0,5.0,137.13
2451456.0,5.0,29.29
2451542.0,8.0,14.54
2451490.0,6.0,49.84
2452244.0,4.0,62.64
2452622.0,2.0,28.81
2451921.0,3.0,11.08
2452618.0,4.0,43.42
2451879.0,7.0,82.8
2452249.0,8.0,98.71
2451183.0,2.0,42.95
2451103.0,5.0,76.87
2451830.0,4.0,11.73
2451157.0,,114.91
2451539.0,,33.28
2451539.0,7.0,44.29
2452429.0,1.0,2.6
2452334.0,7.0,6.78
2451872.0,5.0,24.59
2451023.0,8.0,67.55
2451526.0,4.0,74.54
2452250.0,1.0,77.64
2452509.0,8.0,42.93
2451424.0,8.0,39.18
2452624.0,6.0,92.02
2451040.0,5.0,59.55
2452598.0,2.0,136.27
2451843.0,7.0,28.76
2451774.0,8.0,1.27
2450889.0,3.0,27.03
2452467.0,7.0,32.49
2451129.0,6.0,6.47
2451076.0,1.0,16.14
2451970.0,5.0,1.38
2452575.0,8.0,30.33
2451807.0,4.0,29.85
2451114.0,7.0,16.07
2451489.0,6.0,71.66
2451174.0,2.0,52.74
2451560.0,3.0,90.89
2452151.0,1.0,4.52
2451584.0,6.0,7.02
2451784.0,9.0,2.0
2452393.0,3.0,106.73
2451408.0,4.0,33.42
,1.0,60.39
2452577.0,7.0,7.56
2451405.0,6.0,79.44
2451411.0,8.0,55.95
2451618.0,3.0,23.17
2452429.0,2.0,44.3
2452490.0,8.0,17.1
2451627.0,,49.15
2451537.0,6.0,134.18
2450890.0,3.0,27.97
2451475.0,6.0,42.62
2451192.0,7.0,10.62
2451773.0,6.0,102.12
2452038.0,5.0,108.55
2452271.0,5.0,10.06
2452114.0,3.0,120.0
2451527.0,2.0,8.98
2451539.0,8.0,57.84
2452167.0,6.0,3.81
2452503.0,,
2452231.0,,19.36
2451014.0,4.0,63.16
2452297.0,5.0,1.9
2451283.0,1.0,40.36
2451847.0,4.0,81.37
2451462.0,5.0,44.66
2451436.0,1.0,56.75
2451986.0,7.0,38.59
,5.0,52.32
2452613.0,6.0,51.43
2451703.0,5.0,50.9
2452560.0,8.0,74.5
2451499.0,5.0,31.12
2451405.0,1.0,35.6
2451474.0,7.0,52.45
2451796.0,1.0,81.0
